geneId	geneName	type	specific_type	d0_r1	d0_r2	d0_r3	d14_r1	d14_r2	d14_r3	d14_r4	d28_r1	d28_r2	d28_r3
ENSG00000187531.13	SIRT7	protein_coding	protein_coding	22	25	30	48	40	57	48	21	30	200
ENSG00000187533.13	PRR27	protein_coding	protein_coding	0	0	0	0	0	0	0	0	0	0
ENSG00000187535.13	IFT140	protein_coding	protein_coding	64	63	59	125	125	146	183	116	176	918
ENSG00000187537.13	POTEG	protein_coding	protein_coding	0	2	0	0	0	0	0	0	0	0
ENSG00000187545.5	PRAMEF10	protein_coding	protein_coding	0	0	0	0	0	0	0	0	0	0
ENSG00000187546.13	AGMO	protein_coding	protein_coding	4	6	5	3	4	8	6	0	2	16
ENSG00000187550.8	SBK2	protein_coding	protein_coding	1	2	3	1	0	1	1	2	2	3
ENSG00000187553.8	CYP26C1	protein_coding	protein_coding	0	0	0	7	9	6	7	4	10	64
ENSG00000187554.12	TLR5	protein_coding	protein_coding	11	10	11	4	6	3	9	0	3	8
ENSG00000187555.14	USP7	protein_coding	protein_coding	439	566	469	209	233	213	252	192	290	1490
ENSG00000187556.7	NANOS3	protein_coding	protein_coding	0	0	1	3	2	5	2	3	4	27
ENSG00000187559.5	FOXD4L3	protein_coding	protein_coding	0	0	0	0	0	0	0	0	0	0
ENSG00000187566.5	NHLRC1	protein_coding	protein_coding	3	6	4	1	1	4	3	3	6	12
ENSG00000187569.2	DPPA3	protein_coding	protein_coding	1	0	1	0	0	0	0	0	0	0
ENSG00000187581.2	COX8C	protein_coding	protein_coding	0	0	0	0	0	0	0	0	0	0
ENSG00000187583.10	PLEKHN1	protein_coding	protein_coding	6	14	9	6	2	6	3	0	1	0
ENSG00000187595.16	ZNF385C	protein_coding	protein_coding	8	10	10	11	15	17	13	9	11	24
ENSG00000187600.14	LINC02583	lncRNA	lincRNA	0	0	0	0	1	0	0	0	0	0
ENSG00000187601.4	MAGEH1	protein_coding	protein_coding	23	32	26	80	103	65	120	71	111	136
ENSG00000187605.15	TET3	protein_coding	protein_coding	49	61	50	32	33	42	50	58	116	596
ENSG00000187607.15	ZNF286A	protein_coding	protein_coding	27	32	32	23	42	39	42	28	49	283
ENSG00000187608.9	ISG15	protein_coding	protein_coding	63	52	56	41	33	34	57	73	143	40
ENSG00000187609.15	EXD3	protein_coding	protein_coding	23	29	27	37	67	58	48	37	53	151
ENSG00000187612.1	OR5W2	protein_coding	protein_coding	0	0	0	0	0	0	0	0	0	0
ENSG00000187616.4	MYMK	protein_coding	protein_coding	0	0	0	0	0	0	0	0	0	0
ENSG00000187621.14	TCL6	lncRNA	processed_transcript	0	0	0	1	0	0	0	0	0	1
ENSG00000187624.8	C17orf97	protein_coding	protein_coding	2	5	4	5	5	3	4	5	10	64
ENSG00000187626.8	ZKSCAN4	protein_coding	protein_coding	12	17	17	28	36	33	38	12	34	145
ENSG00000187627.15	RGPD1	protein_coding	protein_coding	0	1	0	0	1	0	0	0	0	0
ENSG00000187630.16	DHRS4L2	protein_coding	protein_coding	21	24	21	25	30	34	24	11	16	98
ENSG00000187634.11	SAMD11	protein_coding	protein_coding	6	4	3	43	51	51	56	34	61	669
ENSG00000187642.9	PERM1	protein_coding	protein_coding	0	1	4	2	1	0	1	0	0	0
ENSG00000187650.3	VMAC	protein_coding	protein_coding	4	7	8	10	7	8	11	9	10	79
ENSG00000187658.6	C5orf52	protein_coding	protein_coding	0	0	0	0	0	0	0	0	0	2
ENSG00000187664.8	HAPLN4	protein_coding	protein_coding	0	0	0	0	0	0	0	0	0	0
ENSG00000187672.12	ERC2	protein_coding	protein_coding	16	18	17	14	7	14	14	12	19	170
ENSG00000187676.7	B3GLCT	protein_coding	protein_coding	12	11	18	40	32	46	35	56	77	511
ENSG00000187678.9	SPRY4	protein_coding	protein_coding	360	406	368	33	30	28	33	10	14	150
ENSG00000187682.2	ERAS	protein_coding	protein_coding	0	2	4	0	0	0	0	1	0	8
ENSG00000187688.14	TRPV2	protein_coding	protein_coding	15	25	24	41	27	34	38	4	6	6
ENSG00000187689.9	AMTN	protein_coding	protein_coding	0	0	0	0	0	0	0	2	2	1
ENSG00000187690.3	CXorf67	protein_coding	protein_coding	0	2	1	1	0	0	2	0	2	0
ENSG00000187699.10	C2orf88	protein_coding	protein_coding	3	2	4	9	5	3	8	1	6	24
ENSG00000187701.4	OR2T27	protein_coding	protein_coding	0	0	0	0	0	0	0	0	0	0
ENSG00000187713.6	TMEM203	protein_coding	protein_coding	63	90	74	52	55	54	74	34	54	370
ENSG00000187714.6	SLC18A3	protein_coding	protein_coding	0	0	0	3	5	7	7	7	12	30
ENSG00000187715.13	KBTBD12	protein_coding	protein_coding	0	2	1	1	0	0	0	0	0	0
ENSG00000187720.14	THSD4	protein_coding	protein_coding	27	33	20	13	15	16	17	109	166	299
ENSG00000187726.8	DNAJB13	protein_coding	protein_coding	0	1	0	1	0	0	1	0	1	41
ENSG00000187730.8	GABRD	protein_coding	protein_coding	7	12	3	8	8	7	5	2	0	107
ENSG00000187733.6	AMY1C	protein_coding	protein_coding	0	0	0	0	0	0	0	0	0	0
ENSG00000187735.13	TCEA1	protein_coding	protein_coding	1116	1334	1117	167	178	169	181	85	142	816
ENSG00000187736.12	NHEJ1	protein_coding	protein_coding	0	1	0	0	0	0	0	0	0	0
ENSG00000187741.14	FANCA	protein_coding	protein_coding	79	108	74	20	14	19	17	21	35	216
ENSG00000187742.14	SECISBP2	protein_coding	protein_coding	175	158	156	160	173	168	198	126	190	819
ENSG00000187747.2	OR52B6	protein_coding	protein_coding	0	0	0	0	0	0	0	0	0	0
ENSG00000187753.13	C9orf153	protein_coding	protein_coding	1	0	0	0	0	1	0	0	1	1
ENSG00000187754.8	SSX7	protein_coding	protein_coding	0	0	0	0	0	0	0	0	0	0
ENSG00000187758.7	ADH1A	protein_coding	protein_coding	0	0	0	0	0	0	0	0	0	2
