geneId	geneName	type	specific_type	d0_r1	d0_r2	d0_r3	d14_r1	d14_r2	d14_r3	d14_r4	d28_r1	d28_r2	d28_r3
ENSG00000212658.1	KRTAP29-1	protein_coding	protein_coding	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000212659.1	KRTAP9-6	protein_coding	protein_coding	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000212663.2	AC003035.1	lncRNA	lincRNA	0.1	0.1	0.1	0.1	0.1	1.02991	0.1	0.1	0.1	0.1
ENSG00000212694.8	LINC01089	lncRNA	lincRNA	15.3258	9.63413	13.2272	21.678	25.5673	27.3524	26.9004	24.2155	23.1074	12.3201
ENSG00000212710.4	CTAGE1	protein_coding	protein_coding	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0091424
ENSG00000212719.11	C17orf51	protein_coding	protein_coding	1.19412	1.24526	2.51702	1.60798	1.17977	1.19985	1.05481	3.65174	4.37593	1.66497
ENSG00000212721.3	KRTAP4-11	protein_coding	protein_coding	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000212722.7	KRTAP4-9	protein_coding	protein_coding	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000212724.3	KRTAP2-3	protein_coding	protein_coding	0.1	0.1	0.1	0.582017	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000212725.3	KRTAP2-1	protein_coding	protein_coding	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000212743.2	AL137145.1	lncRNA	lincRNA	0.161818	0.1	0.1	1.28118	1.86506	0.521346	1.05848	0.588359	0.1	0.1
ENSG00000212747.4	RTL8B	protein_coding	protein_coding	6.14812	5.25278	4.18754	8.51899	10.3861	10.6471	8.06145	9.73197	6.38402	5.16192
ENSG00000212766.9	EWSAT1	lncRNA	lincRNA	0.511475	0.1	0.181193	0.1	0.1	0.1	0.689863	0.1	0.1	1.02787
ENSG00000212807.2	OR2A42	protein_coding	protein_coding	0.193313	0.341095	0.194719	0.0437904	0.202739	0.290799	0.216789	0.140671	0.275087	0.198394
ENSG00000212855.5	TTTY2	lncRNA	lincRNA	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000212856.5	TTTY2B	lncRNA	lincRNA	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000212864.3	RNF208	protein_coding	protein_coding	4.43922	2.85367	5.66332	5.91046	2.53039	4.32762	3.39322	6.59002	6.95731	2.75424
ENSG00000212899.2	KRTAP3-3	protein_coding	protein_coding	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000212900.2	KRTAP3-2	protein_coding	protein_coding	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000212901.3	KRTAP3-1	protein_coding	protein_coding	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000212907.2	MT-ND4L	protein_coding	protein_coding	6441.84	6730.14	6297.3	4751.44	4232.86	4566.89	4739.33	3498.32	3642.14	3109.83
ENSG00000212916.4	MAP10	protein_coding	protein_coding	0.220547	0.389223	0.555103	1.9973	1.15609	0.947714	0.824408	0.401116	0.380364	0.679172
ENSG00000212930.3	AC093281.1	lncRNA	lincRNA	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000212933.1	KRTAP12-4	protein_coding	protein_coding	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000212935.1	KRTAP10-3	protein_coding	protein_coding	0.1	0.1	0.45704	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000212938.3	KRTAP6-3	protein_coding	protein_coding	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000212939.2	Z97192.1	lncRNA	lincRNA	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.00339027
ENSG00000212978.6	AC016747.1	lncRNA	processed_transcript	3.8304	1.62652	6.3931	4.95018	11.8241	9.94726	9.65375	3.68746	3.96999	9.06164
ENSG00000212993.5	POU5F1B	protein_coding	protein_coding	11.1163	9.61537	10.0904	0.323157	1.19772	0.613854	0.917983	1.04003	1.10427	0.636173
ENSG00000213015.8	ZNF580	protein_coding	protein_coding	8.53462	7.97879	12.7775	22.646	19.7931	16.5322	22.3976	22.8856	28.0337	15.507
ENSG00000213020.9	ZNF611	protein_coding	protein_coding	3.0969	4.84476	1.90012	5.11595	4.99202	4.83454	3.92773	5.3768	3.65663	3.98258
ENSG00000213022.5	KLK9	protein_coding	protein_coding	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000213023.10	SYT3	protein_coding	protein_coding	0.669	1.4456	0.66588	1.00624	0.739266	1.87054	2.01728	0.732792	4.88928	1.01064
ENSG00000213024.11	NUP62	protein_coding	protein_coding	20.3976	20.0331	24.0259	16.4547	16.9976	18.1008	17.0495	23.5057	26.8342	26.7549
ENSG00000213029.3	SPHAR	protein_coding	protein_coding	2.33376e-15	1.29025e-25	1.29827e-21	4.04194e-49	6.05053e-96	0.1	4.33813e-30	0.1	6.25175e-70	0.1
