lnc_geneId	lnc_gene_id	lnc_geneName	target_geneName	target_geneId	target_gene_id	cor	p_cor
ENSG00000233509.2	ENSG00000233509	ZNF197-AS1	ZNF197	ENSG00000186448.14	ENSG00000186448	0.7893492548458704	0.006622295841695096
ENSG00000233554.5	ENSG00000233554	B4GALT1-AS1	B4GALT1	ENSG00000086062.12	ENSG00000086062	-0.6926115895326205	0.02641614306428912
ENSG00000233718.7	ENSG00000233718	MYCNOS	MYCN	ENSG00000134323.11	ENSG00000134323	0.6981543012537639	0.024745998142046352
ENSG00000233885.7	ENSG00000233885	YEATS2-AS1	YEATS2	ENSG00000163872.15	ENSG00000163872	0.8173877561853078	0.003878042733135461
ENSG00000234070.1	ENSG00000234070	SPATA17-AS1	SPATA17	ENSG00000162814.10	ENSG00000162814	-0.63766803242624015	0.04731306679233593
ENSG00000234456.7	ENSG00000234456	MAGI2-AS3	MAGI2	ENSG00000187391.20	ENSG00000187391	-0.651373780791781	0.0413223957407343
ENSG00000234608.7	ENSG00000234608	MAPKAPK5-AS1	MAPKAPK5	ENSG00000089022.13	ENSG00000089022	0.7729301443555449	0.008751843810604908
ENSG00000235058.1	ENSG00000235058	ZMYND10-AS1	ZMYND10	ENSG00000004838.13	ENSG00000004838	-0.7848533847685536	0.007163997353548741
ENSG00000235079.1	ENSG00000235079	ZRANB2-AS1	ZRANB2	ENSG00000132485.13	ENSG00000132485	0.7377972509175101	0.01485662235269999
ENSG00000235092.5	ENSG00000235092	ID2-AS1	ID2	ENSG00000115738.9	ENSG00000115738	0.8053633437472736	0.004927922167564429
ENSG00000235448.2	ENSG00000235448	LURAP1L-AS1	LURAP1L	ENSG00000153714.5	ENSG00000153714	0.6582920568436627	0.03850196957683493
ENSG00000235831.6	ENSG00000235831	BHLHE40-AS1	BHLHE40	ENSG00000134107.4	ENSG00000134107	-0.746179861859451	0.01319149919803802
ENSG00000235897.1	ENSG00000235897	TM4SF19-AS1	TM4SF19	ENSG00000145107.15	ENSG00000145107	0.8270021538503673	0.003162370152342525
ENSG00000236017.8	ENSG00000236017	ASMTL-AS1	ASMTL	ENSG00000169093.15	ENSG00000169093	-0.8275722828925889	0.0031231674531842883
ENSG00000236276.1	ENSG00000236276	NDP-AS1	NDP	ENSG00000124479.9	ENSG00000124479	-0.809487952131997	0.004547433355778375
ENSG00000236548.1	ENSG00000236548	RNF217-AS1	RNF217	ENSG00000146373.16	ENSG00000146373	-0.6926420223796175	0.02640676804309034
ENSG00000236756.4	ENSG00000236756	DNAJC9-AS1	DNAJC9	ENSG00000213551.4	ENSG00000213551	0.6623302595642092	0.03691724041167713
ENSG00000236859.6	ENSG00000236859	NIFK-AS1	NIFK	ENSG00000155438.11	ENSG00000155438	-0.7917829650223097	0.006341533667894875
