lnc_geneId	lnc_gene_id	lnc_geneName	target_geneName	target_geneId	target_gene_id	cor	p_cor	lfc_lnc	lnc_deg_cmp	lfc_pc	pc_deg_cmp	both_deg	corr_type
ENSG00000173811.10	ENSG00000173811	CCDC13-AS1	CCDC13	ENSG00000244607.6	ENSG00000244607	0.7497369696825402	0.012526122322210839	3.494078111649854	FALSE	2.7556675810799094	FALSE	FALSE	Positive Up
ENSG00000179818.13	ENSG00000179818	PCBP1-AS1	PCBP1	ENSG00000169564.6	ENSG00000169564	-0.811079887019879	0.004406364482095419	0.9751565923774059	FALSE	-1.0840597709826754	FALSE	FALSE	Negative
ENSG00000182912.6	ENSG00000182912	TSPEAR-AS2	TSPEAR	ENSG00000175894.16	ENSG00000175894	0.7919597507049955	0.006321474577342901	-1.7371035452600498	FALSE	-1.435798289313239	FALSE	FALSE	Positive Down
ENSG00000184809.12	ENSG00000184809	B3GALT5-AS1	B3GALT5	ENSG00000183778.17	ENSG00000183778	0.9389730624400313	5.6350710609668494e-5	-3.5410611855375045	TRUE	-3.6152839559046983	TRUE	TRUE	Positive Down
ENSG00000196951.10	ENSG00000196951	SCOC-AS1	SCOC	ENSG00000153130.17	ENSG00000153130	0.673143442719262	0.03289209523893966	2.0149445933762453	FALSE	0.4835234189972067	FALSE	FALSE	Positive Up
ENSG00000197291.8	ENSG00000197291	RAMP2-AS1	RAMP2	ENSG00000131477.10	ENSG00000131477	0.7319596788538838	0.01609928211494694	-0.7382685893935772	FALSE	-2.2454816977490375	TRUE	FALSE	Positive Down
ENSG00000197308.9	ENSG00000197308	GATA3-AS1	GATA3	ENSG00000107485.16	ENSG00000107485	-0.6584093176618301	0.03845531741572118	2.5233155951583788	FALSE	-1.6273923363685323	FALSE	FALSE	Negative
ENSG00000198711.5	ENSG00000198711	SSBP3-AS1	SSBP3	ENSG00000157216.15	ENSG00000157216	0.8509494725799551	0.0017965575283010974	4.219230546785638	TRUE	1.2474334078266238	FALSE	FALSE	Positive Up
ENSG00000203362.2	ENSG00000203362	POLH-AS1	POLH	ENSG00000170734.11	ENSG00000170734	0.6894159039848683	0.027413330101462387	-1.53373285758883	FALSE	-0.7107074526502203	FALSE	FALSE	Positive Down
ENSG00000203865.9	ENSG00000203865	ATP1A1-AS1	ATP1A1	ENSG00000163399.15	ENSG00000163399	-0.6413912905515488	0.04563177865757675	1.1556235338200607	FALSE	-0.4092538045191175	FALSE	FALSE	Negative
ENSG00000204044.6	ENSG00000204044	SLC12A5-AS1	SLC12A5	ENSG00000124140.13	ENSG00000124140	-0.8562090775857085	0.0015664927689959887	1.019281296671408	FALSE	1.7257551449320365	FALSE	FALSE	Negative
ENSG00000205930.8	ENSG00000205930	C21orf62-AS1	C21orf62	ENSG00000205929.10	ENSG00000205929	0.8540997628257584	0.001656021650929702	2.2346243722904924	FALSE	5.906370934191083	FALSE	FALSE	Positive Up
ENSG00000213742.6	ENSG00000213742	ZNF337-AS1	ZNF337	ENSG00000130684.13	ENSG00000130684	0.7741824038060955	0.008574400235990808	1.0661718523930073	FALSE	1.889099396071299	FALSE	FALSE	Positive Up
ENSG00000215067.9	ENSG00000215067	ALOX12-AS1	ALOX12	ENSG00000108839.11	ENSG00000108839	-0.8515183050328049	0.001770566135684048	2.068653498197725	FALSE	-1.4951695204998419	FALSE	FALSE	Negative
ENSG00000215196.4	ENSG00000215196	BASP1-AS1	BASP1	ENSG00000176788.8	ENSG00000176788	0.7311016343490941	0.016287834987453776	1.9946874751183674	FALSE	0.5671852785837664	FALSE	FALSE	Positive Up
ENSG00000218537.1	ENSG00000218537	MIF-AS1	MIF	ENSG00000240972.1	ENSG00000240972	0.632520005346245	0.049705105689864894	-0.585120067324035	FALSE	0.7021193522766088	FALSE	FALSE	Negative
ENSG00000223534.1	ENSG00000223534	HLA-DQB1-AS1	HLA-DQB1	ENSG00000179344.16	ENSG00000179344	0.6486918191671462	0.042452095374003476	-2.8610193735244382	FALSE	-3.6065566920277	TRUE	FALSE	Positive Down
ENSG00000223745.7	ENSG00000223745	CCDC18-AS1	CCDC18	ENSG00000122483.17	ENSG00000122483	-0.8697524407701323	0.001072778225577833	1.7647696447700068	FALSE	-0.7269968356492295	FALSE	FALSE	Negative
ENSG00000224243.1	ENSG00000224243	SOX1-OT	SOX1	ENSG00000182968.4	ENSG00000182968	0.9092759016734474	2.653294532074663e-4	5.755764236430566	TRUE	8.984263761039802	TRUE	TRUE	Positive Up
ENSG00000224596.7	ENSG00000224596	ZMIZ1-AS1	ZMIZ1	ENSG00000108175.16	ENSG00000108175	0.8375554306147269	0.0024918848215689468	1.4474841227015884	FALSE	0.0037054089166522488	FALSE	FALSE	Positive Up
ENSG00000224660.1	ENSG00000224660	SH3BP5-AS1	SH3BP5	ENSG00000131370.15	ENSG00000131370	0.8620515950878316	0.0013368380451927835	1.8560140651553139	FALSE	1.940251525751269	FALSE	FALSE	Positive Up
ENSG00000224729.5	ENSG00000224729	PCOLCE-AS1	PCOLCE	ENSG00000106333.12	ENSG00000106333	0.829055482509759	0.0030228188419722693	-2.5988194438822565	TRUE	-1.2977114091167015	FALSE	FALSE	Positive Down
ENSG00000225377.5	ENSG00000225377	NRSN2-AS1	NRSN2	ENSG00000125841.12	ENSG00000125841	0.7591250443914275	0.010883456523831558	1.4061584698362872	FALSE	0.9043197391838377	FALSE	FALSE	Positive Up
ENSG00000225706.1	ENSG00000225706	PTPRD-AS1	PTPRD	ENSG00000153707.16	ENSG00000153707	0.9592602414988181	1.1472556719554586e-5	3.5092454843071073	TRUE	2.8016449234774115	TRUE	TRUE	Positive Up
ENSG00000225778.5	ENSG00000225778	PROSER2-AS1	PROSER2	ENSG00000148426.12	ENSG00000148426	0.7559110800406433	0.011427631080676768	-1.6610156842366106	FALSE	-0.4245259158071127	FALSE	FALSE	Positive Down
ENSG00000225822.4	ENSG00000225822	UBXN7-AS1	UBXN7	ENSG00000163960.11	ENSG00000163960	-0.9403782814271925	5.142566361786012e-5	0.2953467978070966	FALSE	0.05491952651225539	FALSE	FALSE	Negative
ENSG00000226167.1	ENSG00000226167	AP4B1-AS1	AP4B1	ENSG00000134262.12	ENSG00000134262	0.709541760093875	0.021544944239651698	1.477181615069763	FALSE	0.9280009411630954	FALSE	FALSE	Positive Up
ENSG00000227028.6	ENSG00000227028	SLC8A1-AS1	SLC8A1	ENSG00000183023.18	ENSG00000183023	0.798759954637712	0.0055836085936682225	2.031680309182829	FALSE	4.877066098798469	TRUE	FALSE	Positive Up
ENSG00000227128.4	ENSG00000227128	LBX1-AS1	LBX1	ENSG00000138136.6	ENSG00000138136	0.9845348650777793	2.4564632724103074e-7	6.317851822240287	TRUE	7.3891816499608085	TRUE	TRUE	Positive Up
ENSG00000227258.5	ENSG00000227258	SMIM2-AS1	SMIM2	ENSG00000139656.6	ENSG00000139656	-0.8978352844943022	4.2064780782275266e-4	-0.08239323380203092	FALSE	-1.4062842205387895	FALSE	FALSE	Negative
ENSG00000227487.3	ENSG00000227487	NCAM1-AS1	NCAM1	ENSG00000149294.16	ENSG00000149294	0.6498891365251407	0.041945230747435	1.2123117882459788	FALSE	4.871326837779667	TRUE	FALSE	Positive Up
ENSG00000227640.2	ENSG00000227640	SOX21-AS1	SOX21	ENSG00000125285.5	ENSG00000125285	0.9198986663171449	1.6336844607601277e-4	1.998878662231575	TRUE	1.7303035454699796	FALSE	FALSE	Positive Up
ENSG00000228109.1	ENSG00000228109	MELTF-AS1	MELTF	ENSG00000163975.11	ENSG00000163975	-0.6565343199213304	0.03920586385740956	-0.047161465804643934	FALSE	-2.6763739860633957	TRUE	FALSE	Negative
