lnc_geneId	lnc_gene_id	lnc_geneName	target_geneName	target_geneId	target_gene_id	cor	p_cor	lfc_lnc	lnc_deg_cmp	lfc_pc	pc_deg_cmp	both_deg	corr_type
ENSG00000246859.2	ENSG00000246859	STARD4-AS1	STARD4	ENSG00000164211.12	ENSG00000164211	-0.8584734400240933	0.0014743448574442647	2.1388440083543725	TRUE	-1.0668373147402301	FALSE	FALSE	Negative
ENSG00000247271.6	ENSG00000247271	ZBED5-AS1	ZBED5	ENSG00000236287.7	ENSG00000236287	0.6805878109390912	0.030301219282887468	1.4645499176183152	FALSE	0.5359495787004732	FALSE	FALSE	Positive Up
ENSG00000247556.6	ENSG00000247556	OIP5-AS1	OIP5	ENSG00000104147.8	ENSG00000104147	0.9424847261054596	4.464949198642443e-5	-1.3632049442955732	FALSE	-3.3053595724845266	TRUE	FALSE	Positive Down
ENSG00000247809.7	ENSG00000247809	NR2F2-AS1	NR2F2	ENSG00000185551.14	ENSG00000185551	0.7272673660621004	0.017149199914918867	4.452071849435748	TRUE	2.840811371393865	TRUE	TRUE	Positive Up
ENSG00000249087.6	ENSG00000249087	ZNF436-AS1	ZNF436	ENSG00000125945.14	ENSG00000125945	0.8427957816931403	0.0022002075209992932	3.7354214390033	TRUE	3.644046885267928	TRUE	TRUE	Positive Up
ENSG00000249310.2	ENSG00000249310	APOBEC3B-AS1	APOBEC3B	ENSG00000179750.15	ENSG00000179750	0.6327882432843506	0.049578522405589756	-1.8252042419041072	FALSE	-2.5207036805104046	TRUE	FALSE	Positive Down
ENSG00000249421.1	ENSG00000249421	ADAMTS19-AS1	ADAMTS19	ENSG00000145808.9	ENSG00000145808	0.7597370908136858	0.01078193263505089	-2.3770653165317963	FALSE	-3.423895788592989	TRUE	FALSE	Positive Down
ENSG00000251279.1	ENSG00000251279	SMIM15-AS1	SMIM15	ENSG00000188725.7	ENSG00000188725	0.7622101269417886	0.010378490055621284	0.737609320830159	FALSE	-0.3739747796228849	FALSE	FALSE	Negative
ENSG00000253661.1	ENSG00000253661	ZFHX4-AS1	ZFHX4	ENSG00000091656.16	ENSG00000091656	0.8196344916354147	0.0037013536399142684	2.307845546088001	FALSE	2.844857768086428	TRUE	FALSE	Positive Up
ENSG00000255153.1	ENSG00000255153	TOLLIP-AS1	TOLLIP	ENSG00000078902.15	ENSG00000078902	0.7948209780847018	0.006003061755868517	2.192352013496695	TRUE	0.3553058587305035	FALSE	FALSE	Positive Up
