comparison	rank_idx	geneId	geneName	biotype	direction	rank_score	log2FoldChange	fc_for_filter	padj	pvalue
D14 vs D28	14	ENSG00000230937.11	MIR205HG	lncRNA	Down	6.767283058818494	-6.767283058818494	253.8648335965	5.69138784550132e-11	2.302970579490757e-12
D14 vs D28	15	ENSG00000128610.11	FEZF1	Protein-coding	Up	6.687188570999427	6.687188570999427	114.75814694915003	6.203237310490373e-5	6.704523774737799e-6
D14 vs D28	16	ENSG00000100433.15	KCNK10	Protein-coding	Up	6.685225527467824	6.685225527467824	109.29586396286201	4.669514983774362e-9	2.3845385150974035e-10
D14 vs D28	17	ENSG00000215182.8	MUC5AC	Protein-coding	Up	6.670637088258983	6.670637088258983	127.3206774621097	6.673052123084845e-8	4.067975584516913e-9
D14 vs D28	18	ENSG00000213937.3	CLDN9	Protein-coding	Down	6.468620614477198	-6.468620614477198	269.7576953334725	5.644306806498534e-8	3.390972401124105e-9
D14 vs D28	19	ENSG00000125084.11	WNT1	Protein-coding	Up	6.296866343672815	6.296866343672815	79.60224652268629	1.3630037811823684e-7	8.654247120477048e-9
D14 vs D28	20	ENSG00000157103.11	SLC6A1	Protein-coding	Up	6.192086292792476	6.192086292792476	71.32206496177606	4.971933370586641e-8	2.9518841074044845e-9
D14 vs D28	21	ENSG00000166736.11	HTR3A	Protein-coding	Up	6.150991271160004	6.150991271160004	72.91621574252251	6.651789611671318e-6	5.700526496042978e-7
D14 vs D28	22	ENSG00000235385.1	LINC02154	lncRNA	Down	6.110258422204815	-6.110258422204815	Inf	1.9928288786721034e-5	1.8885979890348772e-6
D14 vs D28	23	ENSG00000258791.8	LINC00520	lncRNA	Down	6.070135133766817	-6.070135133766817	Inf	2.351983780230803e-5	2.269652893454905e-6
D14 vs D28	24	ENSG00000180613.10	GSX2	Protein-coding	Up	5.964988797605342	5.964988797605342	76.5428502854277	0.005743764694330379	0.0011323112517330532
D14 vs D28	25	ENSG00000138136.6	LBX1	Protein-coding	Up	5.916897884905434	5.916897884905434	60.31703546131397	2.6873427777943116e-6	2.1463286645594807e-7
D14 vs D28	26	ENSG00000140678.16	ITGAX	Protein-coding	Down	5.8453143921571336	-5.8453143921571336	Inf	7.240433882458036e-5	7.957739206424016e-6
D14 vs D28	27	ENSG00000167749.11	KLK4	Protein-coding	Down	5.8439431811186004	-5.8439431811186004	Inf	6.99385610368629e-5	7.657897571417606e-6
D14 vs D28	28	ENSG00000173452.13	TMEM196	Protein-coding	Up	5.8336791164070005	5.8336791164070005	56.63109349031302	6.998778129531786e-12	2.506335906912078e-13
D14 vs D28	29	ENSG00000259663.2	AC010478.1	lncRNA	Up	5.816794719904869	5.816794719904869	Inf	6.806736380869455e-5	7.4334771348294014e-6
D14 vs D28	30	ENSG00000101197.12	BIRC7	Protein-coding	Down	5.783363196133888	-5.783363196133888	29.86086217573625	3.6899274139597887e-22	4.803121442367259e-24
D14 vs D28	31	ENSG00000168907.13	PLA2G4F	Protein-coding	Down	5.733928267075505	-5.733928267075505	Inf	1.1800951091084983e-4	1.3692940069170347e-5
D14 vs D28	32	ENSG00000134668.12	SPOCD1	Protein-coding	Down	5.720741762189421	-5.720741762189421	35.91254360977569	1.8198602324218734e-11	6.913710978396209e-13
D14 vs D28	33	ENSG00000147724.11	FAM135B	Protein-coding	Up	5.720260191540772	5.720260191540772	Inf	7.442442317399012e-5	8.206061973242402e-6
D14 vs D28	34	ENSG00000133101.9	CCNA1	Protein-coding	Up	5.6808837254040245	5.6808837254040245	58.96459119326003	1.9781975216594683e-5	1.8735667421536253e-6
D14 vs D28	35	ENSG00000124491.15	F13A1	Protein-coding	Up	5.637383960926034	5.637383960926034	48.650026197787895	3.249817441904305e-11	1.2614145919513117e-12
D14 vs D28	36	ENSG00000170909.13	OSCAR	Protein-coding	Down	5.631009583539539	-5.631009583539539	Inf	1.7167622929612988e-4	2.0809852744224016e-5
D14 vs D28	37	ENSG00000164853.8	UNCX	Protein-coding	Up	5.609270459277889	5.609270459277889	Inf	4.226150536808545e-5	4.375999907945236e-6
D14 vs D28	38	ENSG00000257702.3	LBX2-AS1	lncRNA	Down	5.589588885700572	-5.589588885700572	27.994922607867206	4.305876269662748e-7	2.9875852548372705e-8
D14 vs D28	39	ENSG00000091664.8	SLC17A6	Protein-coding	Up	5.576102603294762	5.576102603294762	49.59233024673927	7.38832598700247e-6	6.466634713562063e-7
D14 vs D28	40	ENSG00000275216.2	AL161431.1	lncRNA	Down	5.570940362698787	-5.570940362698787	21.7652485860732	1.2082175722355553e-5	1.0959212282028243e-6
D14 vs D28	41	ENSG00000204287.13	HLA-DRA	Protein-coding	Down	5.565429167902645	-5.565429167902645	Inf	3.7695715992617704e-4	5.0089253904668125e-5
D14 vs D28	42	ENSG00000227128.4	LBX1-AS1	lncRNA	Up	5.565428670279233	5.565428670279233	56.273416085494965	3.751867310176036e-5	3.8075552923979914e-6
D14 vs D28	43	ENSG00000113196.2	HAND1	Protein-coding	Up	5.543333586424548	5.543333586424548	Inf	5.444246028970362e-4	7.577307908149937e-5
D14 vs D28	44	ENSG00000167772.11	ANGPTL4	Protein-coding	Down	5.530064805730562	-5.530064805730562	61.391306411282585	6.369806043217313e-61	1.3506480006821962e-63
D14 vs D28	45	ENSG00000270069.1	MIR222HG	lncRNA	Down	5.521519784304198	-5.521519784304198	Inf	3.438195945502604e-4	4.503797728117441e-5
D14 vs D28	46	ENSG00000121769.7	FABP3	Protein-coding	Down	5.486467783934763	-5.486467783934763	41.33091684062514	6.164789374299476e-134	2.9048365528563907e-137
D14 vs D28	47	ENSG00000162374.16	ELAVL4	Protein-coding	Up	5.454238937288394	5.454238937288394	52.7651453796938	2.7697326814282853e-5	2.7309061778248024e-6
D14 vs D28	48	ENSG00000125726.10	CD70	Protein-coding	Down	5.453303911856992	-5.453303911856992	23.54259726872177	8.659018815806446e-15	2.208360906611021e-16
D14 vs D28	49	ENSG00000187867.8	PALM3	Protein-coding	Up	5.448367169862729	5.448367169862729	55.53640158599647	4.984452597176474e-5	5.269815297403564e-6
D14 vs D28	50	ENSG00000118733.16	OLFM3	Protein-coding	Up	5.4459462097702875	5.4459462097702875	52.73241549512295	2.4295595963085248e-5	2.3582955676266045e-6
D0 vs D28	1	ENSG00000261780.2	LINC02582	lncRNA	Down	11.559632156823403	-11.559632156823403	Inf	1.2984857528039516e-21	3.6504541464362986e-23
D0 vs D28	2	ENSG00000138722.9	MMRN1	Protein-coding	Up	11.093760236252184	11.093760236252184	2522.0663081330567	5.191656849010277e-18	1.8743552781109546e-19
D0 vs D28	3	ENSG00000253507.5	AC104257.1	lncRNA	Down	10.478755705691851	-10.478755705691851	787.59254467213	2.994772085802141e-35	3.863993339872554e-37
D0 vs D28	4	ENSG00000197406.7	DIO3	Protein-coding	Up	10.145060815650753	10.145060815650753	1150.9624074582912	4.763960736425558e-21	1.3759545687592755e-22
