comparison	top_n	star	top_n_num	top_n_idx	y_star
D0 vs D14	10	*	10	1	7.2
D0 vs D14	20	*	20	2	11.2
D0 vs D14	30	*	30	3	18.2
D0 vs D14	40	*	40	4	23.2
D0 vs D14	50	*	50	5	30.2
D0 vs D28	10	*	10	1	9.2
D0 vs D28	20	*	20	2	17.2
D0 vs D28	30	*	30	3	24.2
D0 vs D28	40	*	40	4	30.2
D0 vs D28	50	*	50	5	38.2
D14 vs D28	10		10	1	11.2
D14 vs D28	20		20	2	19.2
D14 vs D28	30	*	30	3	26.2
D14 vs D28	40	*	40	4	34.2
D14 vs D28	50	*	50	5	42.2
