geneId	cluster	row_order	cluster_display_rank	geneName	gene_id	type	specific_type
ENSG00000078549.14	6	326	1	ADCYAP1R1	ENSG00000078549	protein_coding	protein_coding
ENSG00000135097.6	6	327	1	MSI1	ENSG00000135097	protein_coding	protein_coding
ENSG00000152128.13	6	328	1	TMEM163	ENSG00000152128	protein_coding	protein_coding
ENSG00000184156.16	6	329	1	KCNQ3	ENSG00000184156	protein_coding	protein_coding
ENSG00000187720.14	6	330	1	THSD4	ENSG00000187720	protein_coding	protein_coding
ENSG00000126583.10	6	331	1	PRKCG	ENSG00000126583	protein_coding	protein_coding
ENSG00000111218.11	6	332	1	PRMT8	ENSG00000111218	protein_coding	protein_coding
ENSG00000149926.13	6	333	1	FAM57B	ENSG00000149926	protein_coding	protein_coding
ENSG00000101180.15	6	334	1	HRH3	ENSG00000101180	protein_coding	protein_coding
ENSG00000166736.11	6	335	1	HTR3A	ENSG00000166736	protein_coding	protein_coding
ENSG00000153823.18	6	336	1	PID1	ENSG00000153823	protein_coding	protein_coding
ENSG00000141314.12	6	337	1	RHBDL3	ENSG00000141314	protein_coding	protein_coding
ENSG00000085552.16	6	338	1	IGSF9	ENSG00000085552	protein_coding	protein_coding
ENSG00000126259.19	6	339	1	KIRREL2	ENSG00000126259	protein_coding	protein_coding
ENSG00000183248.11	6	340	1	PRR36	ENSG00000183248	protein_coding	protein_coding
ENSG00000183454.16	6	341	1	GRIN2A	ENSG00000183454	protein_coding	protein_coding
ENSG00000144339.11	6	342	1	TMEFF2	ENSG00000144339	protein_coding	protein_coding
ENSG00000165084.15	6	343	1	C8orf34	ENSG00000165084	protein_coding	protein_coding
ENSG00000103723.13	6	344	1	AP3B2	ENSG00000103723	protein_coding	protein_coding
ENSG00000114646.9	6	345	1	CSPG5	ENSG00000114646	protein_coding	protein_coding
ENSG00000126733.20	6	346	1	DACH2	ENSG00000126733	protein_coding	protein_coding
ENSG00000135447.16	6	347	1	PPP1R1A	ENSG00000135447	protein_coding	protein_coding
ENSG00000174672.15	6	348	1	BRSK2	ENSG00000174672	protein_coding	protein_coding
ENSG00000004948.14	6	349	1	CALCR	ENSG00000004948	protein_coding	protein_coding
ENSG00000279207.1	6	350	1	AC015813.6	ENSG00000279207	lncRNA	TEC
ENSG00000072832.14	6	351	1	CRMP1	ENSG00000072832	protein_coding	protein_coding
ENSG00000164076.16	6	352	1	CAMKV	ENSG00000164076	protein_coding	protein_coding
ENSG00000274767.1	6	353	1	AC243829.1	ENSG00000274767	lncRNA	antisense
ENSG00000275294.4	6	354	1	LINC02340	ENSG00000275294	lncRNA	lincRNA
ENSG00000278989.1	6	355	1	AP001148.1	ENSG00000278989	lncRNA	TEC
ENSG00000197442.9	6	356	1	MAP3K5	ENSG00000197442	protein_coding	protein_coding
ENSG00000245213.6	6	357	1	AC105285.1	ENSG00000245213	lncRNA	antisense
ENSG00000163995.19	6	358	1	ABLIM2	ENSG00000163995	protein_coding	protein_coding
ENSG00000196542.8	6	359	1	SPTSSB	ENSG00000196542	protein_coding	protein_coding
ENSG00000163347.5	6	360	1	CLDN1	ENSG00000163347	protein_coding	protein_coding
ENSG00000006071.13	6	361	1	ABCC8	ENSG00000006071	protein_coding	protein_coding
ENSG00000161681.15	6	362	1	SHANK1	ENSG00000161681	protein_coding	protein_coding
ENSG00000170419.10	6	363	1	VSTM2A	ENSG00000170419	protein_coding	protein_coding
ENSG00000128482.15	6	364	1	RNF112	ENSG00000128482	protein_coding	protein_coding
ENSG00000198720.12	6	365	1	ANKRD13B	ENSG00000198720	protein_coding	protein_coding
ENSG00000087903.12	6	366	1	RFX2	ENSG00000087903	protein_coding	protein_coding
ENSG00000143630.9	6	367	1	HCN3	ENSG00000143630	protein_coding	protein_coding
ENSG00000182732.17	6	368	1	RGS6	ENSG00000182732	protein_coding	protein_coding
ENSG00000227640.2	6	369	1	SOX21-AS1	ENSG00000227640	lncRNA	lincRNA
ENSG00000109927.10	6	370	1	TECTA	ENSG00000109927	protein_coding	protein_coding
ENSG00000141639.11	6	371	1	MAPK4	ENSG00000141639	protein_coding	protein_coding
ENSG00000164082.14	6	372	1	GRM2	ENSG00000164082	protein_coding	protein_coding
ENSG00000085276.17	6	373	1	MECOM	ENSG00000085276	protein_coding	protein_coding
ENSG00000162706.12	6	374	1	CADM3	ENSG00000162706	protein_coding	protein_coding
ENSG00000013619.13	6	375	1	MAMLD1	ENSG00000013619	protein_coding	protein_coding
ENSG00000101349.16	6	376	1	PAK5	ENSG00000101349	protein_coding	protein_coding
ENSG00000234186.2	6	377	1	C16orf82	ENSG00000234186	lncRNA	lincRNA
ENSG00000227128.4	6	378	1	LBX1-AS1	ENSG00000227128	lncRNA	processed_transcript
ENSG00000172995.16	6	379	1	ARPP21	ENSG00000172995	protein_coding	protein_coding
ENSG00000091664.8	6	380	1	SLC17A6	ENSG00000091664	protein_coding	protein_coding
ENSG00000151812.14	6	381	1	SLC35F4	ENSG00000151812	protein_coding	protein_coding
ENSG00000166448.14	6	382	1	TMEM130	ENSG00000166448	protein_coding	protein_coding
ENSG00000230319.1	6	383	1	AL022476.1	ENSG00000230319	lncRNA	antisense
ENSG00000004848.7	6	384	1	ARX	ENSG00000004848	protein_coding	protein_coding
ENSG00000257935.2	6	385	1	LHX5-AS1	ENSG00000257935	lncRNA	antisense
ENSG00000255052.4	6	386	1	FAM66D	ENSG00000255052	lncRNA	antisense
ENSG00000225756.1	6	387	1	DBH-AS1	ENSG00000225756	lncRNA	antisense
ENSG00000196091.13	6	388	1	MYBPC1	ENSG00000196091	protein_coding	protein_coding
ENSG00000076344.15	6	389	1	RGS11	ENSG00000076344	protein_coding	protein_coding
ENSG00000187902.11	6	390	1	SHISA7	ENSG00000187902	protein_coding	protein_coding
ENSG00000075891.21	6	391	1	PAX2	ENSG00000075891	protein_coding	protein_coding
ENSG00000115665.8	6	392	1	SLC5A7	ENSG00000115665	protein_coding	protein_coding
ENSG00000105409.18	6	393	1	ATP1A3	ENSG00000105409	protein_coding	protein_coding
ENSG00000215182.8	6	394	1	MUC5AC	ENSG00000215182	protein_coding	protein_coding
ENSG00000214688.5	6	395	1	C10orf105	ENSG00000214688	protein_coding	protein_coding
ENSG00000215475.4	6	396	1	SIAH3	ENSG00000215475	protein_coding	protein_coding
ENSG00000138136.6	6	397	1	LBX1	ENSG00000138136	protein_coding	protein_coding
ENSG00000130037.4	6	398	1	KCNA5	ENSG00000130037	protein_coding	protein_coding
ENSG00000119283.15	6	399	1	TRIM67	ENSG00000119283	protein_coding	protein_coding
ENSG00000231213.6	6	400	1	PLSCR5	ENSG00000231213	protein_coding	protein_coding
ENSG00000125046.14	6	401	1	SSUH2	ENSG00000125046	protein_coding	protein_coding
ENSG00000136698.8	6	402	1	CFC1	ENSG00000136698	protein_coding	protein_coding
ENSG00000178235.7	6	403	1	SLITRK1	ENSG00000178235	protein_coding	protein_coding
ENSG00000283217.1	6	404	1	AC068205.1	ENSG00000283217	lncRNA	lincRNA
ENSG00000126709.14	6	405	1	IFI6	ENSG00000126709	protein_coding	protein_coding
ENSG00000139352.3	6	406	1	ASCL1	ENSG00000139352	protein_coding	protein_coding
ENSG00000139767.9	6	407	1	SRRM4	ENSG00000139767	protein_coding	protein_coding
ENSG00000112837.16	6	408	1	TBX18	ENSG00000112837	protein_coding	protein_coding
ENSG00000008118.9	6	409	1	CAMK1G	ENSG00000008118	protein_coding	protein_coding
ENSG00000187122.16	6	410	1	SLIT1	ENSG00000187122	protein_coding	protein_coding
ENSG00000261678.2	6	411	1	SCRT1	ENSG00000261678	protein_coding	protein_coding
ENSG00000147027.3	6	412	1	TMEM47	ENSG00000147027	protein_coding	protein_coding
ENSG00000063127.15	6	413	1	SLC6A16	ENSG00000063127	protein_coding	protein_coding
ENSG00000196277.15	6	414	1	GRM7	ENSG00000196277	protein_coding	protein_coding
ENSG00000105784.15	6	415	1	RUNDC3B	ENSG00000105784	protein_coding	protein_coding
ENSG00000164283.12	6	416	1	ESM1	ENSG00000164283	protein_coding	protein_coding
ENSG00000146285.13	6	417	1	SCML4	ENSG00000146285	protein_coding	protein_coding
ENSG00000213088.10	6	418	1	ACKR1	ENSG00000213088	protein_coding	protein_coding
ENSG00000157087.18	6	419	1	ATP2B2	ENSG00000157087	protein_coding	protein_coding
ENSG00000188011.5	6	420	1	RTP5	ENSG00000188011	protein_coding	protein_coding
ENSG00000152954.11	6	421	1	NRSN1	ENSG00000152954	protein_coding	protein_coding
ENSG00000036448.9	6	422	1	MYOM2	ENSG00000036448	protein_coding	protein_coding
ENSG00000103056.11	6	423	1	SMPD3	ENSG00000103056	protein_coding	protein_coding
ENSG00000188906.15	6	424	1	LRRK2	ENSG00000188906	protein_coding	protein_coding
ENSG00000236268.5	6	425	1	LINC01361	ENSG00000236268	lncRNA	lincRNA
ENSG00000198400.11	6	426	1	NTRK1	ENSG00000198400	protein_coding	protein_coding
ENSG00000074803.18	6	427	1	SLC12A1	ENSG00000074803	protein_coding	protein_coding
ENSG00000162992.3	6	428	1	NEUROD1	ENSG00000162992	protein_coding	protein_coding
ENSG00000139438.5	6	429	1	FAM222A	ENSG00000139438	protein_coding	protein_coding
ENSG00000171094.17	6	430	1	ALK	ENSG00000171094	protein_coding	protein_coding
ENSG00000268182.5	6	431	1	SMIM17	ENSG00000268182	protein_coding	protein_coding
ENSG00000182870.12	6	432	1	GALNT9	ENSG00000182870	protein_coding	protein_coding
ENSG00000284642.1	6	433	1	AL139424.2	ENSG00000284642	lncRNA	lincRNA
ENSG00000089116.3	6	434	1	LHX5	ENSG00000089116	protein_coding	protein_coding
ENSG00000180914.10	6	435	1	OXTR	ENSG00000180914	protein_coding	protein_coding
ENSG00000134321.11	6	436	1	RSAD2	ENSG00000134321	protein_coding	protein_coding
ENSG00000142700.11	6	437	1	DMRTA2	ENSG00000142700	protein_coding	protein_coding
ENSG00000163395.16	6	438	1	IGFN1	ENSG00000163395	protein_coding	protein_coding
ENSG00000224189.7	6	439	1	HAGLR	ENSG00000224189	lncRNA	antisense
ENSG00000164106.7	6	440	1	SCRG1	ENSG00000164106	protein_coding	protein_coding
ENSG00000155093.18	6	441	1	PTPRN2	ENSG00000155093	protein_coding	protein_coding
ENSG00000149295.13	6	442	1	DRD2	ENSG00000149295	protein_coding	protein_coding
ENSG00000172824.15	6	443	1	CES4A	ENSG00000172824	protein_coding	protein_coding
ENSG00000173991.5	6	444	1	TCAP	ENSG00000173991	protein_coding	protein_coding
ENSG00000100060.17	6	445	1	MFNG	ENSG00000100060	protein_coding	protein_coding
ENSG00000102678.6	6	446	1	FGF9	ENSG00000102678	protein_coding	protein_coding
ENSG00000242173.8	6	447	1	ARHGDIG	ENSG00000242173	protein_coding	protein_coding
ENSG00000178403.3	6	448	1	NEUROG2	ENSG00000178403	protein_coding	protein_coding
ENSG00000153822.13	6	449	1	KCNJ16	ENSG00000153822	protein_coding	protein_coding
ENSG00000273771.1	6	450	1	AC024337.2	ENSG00000273771	lncRNA	lincRNA
ENSG00000125869.9	6	451	1	LAMP5	ENSG00000125869	protein_coding	protein_coding
ENSG00000259663.2	6	452	1	AC010478.1	ENSG00000259663	lncRNA	antisense
ENSG00000180613.10	6	453	1	GSX2	ENSG00000180613	protein_coding	protein_coding
ENSG00000284646.1	6	454	1	AL031291.1	ENSG00000284646	lncRNA	lincRNA
ENSG00000165970.11	6	455	1	SLC6A5	ENSG00000165970	protein_coding	protein_coding
ENSG00000151615.3	6	456	1	POU4F2	ENSG00000151615	protein_coding	protein_coding
ENSG00000119614.2	6	457	1	VSX2	ENSG00000119614	protein_coding	protein_coding
ENSG00000163116.9	6	458	1	STPG2	ENSG00000163116	protein_coding	protein_coding
ENSG00000149654.9	6	459	1	CDH22	ENSG00000149654	protein_coding	protein_coding
ENSG00000185739.13	6	460	1	SRL	ENSG00000185739	protein_coding	protein_coding
ENSG00000181965.5	6	461	1	NEUROG1	ENSG00000181965	protein_coding	protein_coding
ENSG00000215397.3	6	462	1	SCRT2	ENSG00000215397	protein_coding	protein_coding
ENSG00000260838.3	6	463	1	AC022893.2	ENSG00000260838	lncRNA	lincRNA
ENSG00000232046.6	6	464	1	LINC01798	ENSG00000232046	lncRNA	lincRNA
ENSG00000198734.10	6	465	1	F5	ENSG00000198734	protein_coding	protein_coding
ENSG00000009709.11	6	466	1	PAX7	ENSG00000009709	protein_coding	protein_coding
ENSG00000164532.10	6	467	1	TBX20	ENSG00000164532	protein_coding	protein_coding
ENSG00000119946.10	6	468	1	CNNM1	ENSG00000119946	protein_coding	protein_coding
ENSG00000163273.3	6	469	1	NPPC	ENSG00000163273	protein_coding	protein_coding
ENSG00000016082.14	6	470	1	ISL1	ENSG00000016082	protein_coding	protein_coding
ENSG00000188064.9	6	471	1	WNT7B	ENSG00000188064	protein_coding	protein_coding
ENSG00000230910.3	6	472	1	AL391807.1	ENSG00000230910	lncRNA	processed_transcript
ENSG00000072182.12	6	473	1	ASIC4	ENSG00000072182	protein_coding	protein_coding
ENSG00000154134.14	6	474	1	ROBO3	ENSG00000154134	protein_coding	protein_coding
ENSG00000089127.12	6	475	1	OAS1	ENSG00000089127	protein_coding	protein_coding
ENSG00000145506.13	6	476	1	NKD2	ENSG00000145506	protein_coding	protein_coding
ENSG00000272692.1	6	477	1	AC010997.3	ENSG00000272692	lncRNA	lincRNA
ENSG00000169508.6	6	478	1	GPR183	ENSG00000169508	protein_coding	protein_coding
ENSG00000185615.15	6	479	1	PDIA2	ENSG00000185615	protein_coding	protein_coding
ENSG00000165949.12	6	480	1	IFI27	ENSG00000165949	protein_coding	protein_coding
ENSG00000174498.13	6	481	1	IGDCC3	ENSG00000174498	protein_coding	protein_coding
ENSG00000177508.11	6	482	1	IRX3	ENSG00000177508	protein_coding	protein_coding
ENSG00000205359.9	6	483	1	SLCO6A1	ENSG00000205359	protein_coding	protein_coding
ENSG00000139970.16	6	484	1	RTN1	ENSG00000139970	protein_coding	protein_coding
ENSG00000129514.5	6	485	1	FOXA1	ENSG00000129514	protein_coding	protein_coding
ENSG00000104435.13	6	486	1	STMN2	ENSG00000104435	protein_coding	protein_coding
ENSG00000254656.2	6	487	1	RTL1	ENSG00000254656	protein_coding	protein_coding
ENSG00000108947.4	6	488	1	EFNB3	ENSG00000108947	protein_coding	protein_coding
ENSG00000075461.5	6	489	1	CACNG4	ENSG00000075461	protein_coding	protein_coding
ENSG00000080166.15	6	490	1	DCT	ENSG00000080166	protein_coding	protein_coding
ENSG00000177875.4	6	491	1	CCDC184	ENSG00000177875	protein_coding	protein_coding
ENSG00000183044.11	6	492	1	ABAT	ENSG00000183044	protein_coding	protein_coding
ENSG00000049540.16	6	493	1	ELN	ENSG00000049540	protein_coding	protein_coding
ENSG00000077279.18	6	494	1	DCX	ENSG00000077279	protein_coding	protein_coding
ENSG00000008735.13	6	495	1	MAPK8IP2	ENSG00000008735	protein_coding	protein_coding
ENSG00000196376.10	6	496	1	SLC35F1	ENSG00000196376	protein_coding	protein_coding
ENSG00000105855.9	6	497	1	ITGB8	ENSG00000105855	protein_coding	protein_coding
ENSG00000102924.11	6	498	1	CBLN1	ENSG00000102924	protein_coding	protein_coding
ENSG00000187957.7	6	499	1	DNER	ENSG00000187957	protein_coding	protein_coding
ENSG00000157851.16	6	500	1	DPYSL5	ENSG00000157851	protein_coding	protein_coding
ENSG00000170558.8	6	501	1	CDH2	ENSG00000170558	protein_coding	protein_coding
ENSG00000105825.12	6	502	1	TFPI2	ENSG00000105825	protein_coding	protein_coding
ENSG00000083123.14	6	503	1	BCKDHB	ENSG00000083123	protein_coding	protein_coding
ENSG00000138722.9	6	504	1	MMRN1	ENSG00000138722	protein_coding	protein_coding
ENSG00000171551.11	6	505	1	ECEL1	ENSG00000171551	protein_coding	protein_coding
ENSG00000186897.4	6	506	1	C1QL4	ENSG00000186897	protein_coding	protein_coding
ENSG00000184588.17	6	507	1	PDE4B	ENSG00000184588	protein_coding	protein_coding
ENSG00000123496.7	6	508	1	IL13RA2	ENSG00000123496	protein_coding	protein_coding
ENSG00000139219.18	6	509	1	COL2A1	ENSG00000139219	protein_coding	protein_coding
ENSG00000101460.12	6	510	1	MAP1LC3A	ENSG00000101460	protein_coding	protein_coding
ENSG00000145147.19	6	511	1	SLIT2	ENSG00000145147	protein_coding	protein_coding
ENSG00000174871.10	6	512	1	CNIH2	ENSG00000174871	protein_coding	protein_coding
ENSG00000170145.4	6	513	1	SIK2	ENSG00000170145	protein_coding	protein_coding
ENSG00000164061.4	6	514	1	BSN	ENSG00000164061	protein_coding	protein_coding
ENSG00000112539.14	6	515	1	C6orf118	ENSG00000112539	protein_coding	protein_coding
ENSG00000152380.9	6	516	1	FAM151B	ENSG00000152380	protein_coding	protein_coding
ENSG00000164326.4	6	517	1	CARTPT	ENSG00000164326	protein_coding	protein_coding
ENSG00000146555.18	6	518	1	SDK1	ENSG00000146555	protein_coding	protein_coding
ENSG00000141665.12	6	519	1	FBXO15	ENSG00000141665	protein_coding	protein_coding
ENSG00000040731.10	6	520	1	CDH10	ENSG00000040731	protein_coding	protein_coding
ENSG00000115507.9	6	521	1	OTX1	ENSG00000115507	protein_coding	protein_coding
ENSG00000271474.1	6	522	1	AC106881.1	ENSG00000271474	lncRNA	antisense
ENSG00000164330.16	6	523	1	EBF1	ENSG00000164330	protein_coding	protein_coding
ENSG00000036530.8	6	524	1	CYP46A1	ENSG00000036530	protein_coding	protein_coding
ENSG00000077080.9	6	525	1	ACTL6B	ENSG00000077080	protein_coding	protein_coding
ENSG00000146151.13	6	526	1	HMGCLL1	ENSG00000146151	protein_coding	protein_coding
ENSG00000249242.7	6	527	1	TMEM150C	ENSG00000249242	protein_coding	protein_coding
ENSG00000075884.13	6	528	1	ARHGAP15	ENSG00000075884	protein_coding	protein_coding
ENSG00000135218.18	6	529	1	CD36	ENSG00000135218	protein_coding	protein_coding
ENSG00000138400.12	6	530	1	MDH1B	ENSG00000138400	protein_coding	protein_coding
ENSG00000204815.9	6	531	1	TTC25	ENSG00000204815	protein_coding	protein_coding
ENSG00000114670.13	6	532	1	NEK11	ENSG00000114670	protein_coding	protein_coding
ENSG00000163818.16	6	533	1	LZTFL1	ENSG00000163818	protein_coding	protein_coding
ENSG00000163618.17	6	534	1	CADPS	ENSG00000163618	protein_coding	protein_coding
ENSG00000152932.7	6	535	1	RAB3C	ENSG00000152932	protein_coding	protein_coding
ENSG00000004139.13	6	536	1	SARM1	ENSG00000004139	protein_coding	protein_coding
ENSG00000135472.8	6	537	1	FAIM2	ENSG00000135472	protein_coding	protein_coding
ENSG00000018625.14	6	538	1	ATP1A2	ENSG00000018625	protein_coding	protein_coding
ENSG00000149243.15	6	539	1	KLHL35	ENSG00000149243	protein_coding	protein_coding
ENSG00000151322.18	6	540	1	NPAS3	ENSG00000151322	protein_coding	protein_coding
ENSG00000172733.11	6	541	1	PURG	ENSG00000172733	protein_coding	protein_coding
ENSG00000184347.14	6	542	1	SLIT3	ENSG00000184347	protein_coding	protein_coding
ENSG00000175426.10	6	543	1	PCSK1	ENSG00000175426	protein_coding	protein_coding
ENSG00000159625.14	6	544	1	DRC7	ENSG00000159625	protein_coding	protein_coding
ENSG00000171132.13	6	545	1	PRKCE	ENSG00000171132	protein_coding	protein_coding
ENSG00000105519.15	6	546	1	CAPS	ENSG00000105519	protein_coding	protein_coding
ENSG00000175414.6	6	547	1	ARL10	ENSG00000175414	protein_coding	protein_coding
ENSG00000196208.13	6	548	1	GREB1	ENSG00000196208	protein_coding	protein_coding
ENSG00000238197.5	6	549	1	PAXBP1-AS1	ENSG00000238197	lncRNA	antisense
ENSG00000279528.1	6	550	1	AC115618.3	ENSG00000279528	lncRNA	TEC
ENSG00000204396.10	6	551	1	VWA7	ENSG00000204396	protein_coding	protein_coding
ENSG00000167220.11	6	552	1	HDHD2	ENSG00000167220	protein_coding	protein_coding
ENSG00000269113.3	6	553	1	TRABD2B	ENSG00000269113	protein_coding	protein_coding
ENSG00000175764.14	6	554	1	TTLL11	ENSG00000175764	protein_coding	protein_coding
ENSG00000278921.2	6	555	1	EPB41L4A-DT	ENSG00000278921	lncRNA	lincRNA
ENSG00000250208.6	6	556	1	FZD10-DT	ENSG00000250208	lncRNA	processed_transcript
ENSG00000251615.3	6	557	1	AC104825.1	ENSG00000251615	lncRNA	lincRNA
ENSG00000151320.10	6	558	1	AKAP6	ENSG00000151320	protein_coding	protein_coding
ENSG00000279022.1	6	559	1	AL359715.4	ENSG00000279022	lncRNA	TEC
ENSG00000154928.17	6	560	1	EPHB1	ENSG00000154928	protein_coding	protein_coding
ENSG00000164603.11	6	561	1	BMT2	ENSG00000164603	protein_coding	protein_coding
ENSG00000225706.1	6	562	1	PTPRD-AS1	ENSG00000225706	lncRNA	lincRNA
ENSG00000106799.12	6	563	1	TGFBR1	ENSG00000106799	protein_coding	protein_coding
ENSG00000187323.11	6	564	1	DCC	ENSG00000187323	protein_coding	protein_coding
ENSG00000135824.12	6	565	1	RGS8	ENSG00000135824	protein_coding	protein_coding
ENSG00000172771.11	6	566	1	EFCAB12	ENSG00000172771	protein_coding	protein_coding
ENSG00000134115.12	6	567	1	CNTN6	ENSG00000134115	protein_coding	protein_coding
ENSG00000221818.8	6	568	1	EBF2	ENSG00000221818	protein_coding	protein_coding
ENSG00000008226.19	6	569	1	DLEC1	ENSG00000008226	protein_coding	protein_coding
