geneId	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	comparison	mean_norm_a	mean_norm_b	fc_norm	abs_fc_norm	direction	max_fpkm_pair	geneName	raw_biotype	biotype	fc_for_filter	lfc_equiv_for_filter	is_deg
ENSG00000265992.1	1054.5116052377311	-6.611450236584398	0.15112572074806563	-43.748014592473154	0	0	ENSG00000265992	D0 vs D14	2427.6038094707274	24.692452062984128	0.010171532919273035	98.31359815050085	Down	267.474	ESRG	lncRNA	lncRNA	98.31359815050085	6.619319070227471	TRUE
ENSG00000204531.17	1332.447473198226	-6.109731930170684	0.11595069172295809	-52.692500919000246	0	0	ENSG00000204531	D0 vs D14	3049.8556433958256	44.39134555002591	0.014555228424057112	68.70383417323661	Down	1409.71	POU5F1	protein_coding	Protein-coding	68.70383417323661	6.102318709045168	TRUE
ENSG00000233056.2	555.4621615522872	-4.998222214190318	0.12672287349156353	-39.44214707633718	0	0	ENSG00000233056	D0 vs D14	1243.8178330007659	39.195407965928005	0.031512177206341654	31.733764171609046	Down	177.867	ERVH48-1	lncRNA	lncRNA	31.733764171609046	4.987946754801033	TRUE
ENSG00000170542.5	1672.1001261753242	-4.769223130537635	0.0714999255374067	-66.70249087242078	0	0	ENSG00000170542	D0 vs D14	3720.208243257451	136.01903836372858	0.03656221089511617	27.350643615853542	Down	332.709	SERPINB9	protein_coding	Protein-coding	27.350643615853542	4.773502877831148	TRUE
ENSG00000088305.18	1002.4572377455535	-4.536139772782704	0.08477253092593606	-53.50954752956275	0	0	ENSG00000088305	D0 vs D14	2211.921533665275	95.35901580576245	0.04311139177154596	23.195725280667283	Down	185.613	DNMT3B	protein_coding	Protein-coding	23.195725280667283	4.535787051765479	TRUE
ENSG00000115461.4	5943.272720558681	4.40103943371146	0.05048013044686312	87.18359867045359	0	0	ENSG00000115461	D0 vs D14	474.57000490602087	10044.799757298177	21.16610753620501	21.16610753620501	Up	663.536	IGFBP5	protein_coding	Protein-coding	21.16610753620501	4.4036840758747	TRUE
ENSG00000121570.12	1161.2765321807601	-3.7839337419664965	0.06828955357734237	-55.410140259314254	0	0	ENSG00000121570	D0 vs D14	2470.379521499288	179.4492901918642	0.07264037312086985	13.766449111378481	Down	440.392	DPPA4	protein_coding	Protein-coding	13.766449111378481	3.783084576652421	TRUE
ENSG00000128567.16	1212.7523165801192	-3.672282049007052	0.0673084042771806	-54.5590418974181	0	0	ENSG00000128567	D0 vs D14	2562.4495664331557	200.47937919034163	0.07823739511462942	12.78161163897202	Down	172.231	PODXL	protein_coding	Protein-coding	12.78161163897202	3.6759978526871224	TRUE
ENSG00000124532.14	543.7623995053011	-3.6151224512979505	0.09230686447067009	-39.16417778925458	0	0	ENSG00000124532	D0 vs D14	1143.8648880902495	93.68553306658988	0.0819026215788505	12.209621386017115	Down	164.246	MRS2	protein_coding	Protein-coding	12.209621386017115	3.6099465586865116	TRUE
ENSG00000131914.10	1495.3207524240988	-3.369675474596009	0.05603198183955262	-60.138431016862164	0	0	ENSG00000131914	D0 vs D14	3089.826483541297	299.4414540862007	0.09691206146404904	10.31863304621752	Down	315.961	LIN28A	protein_coding	Protein-coding	10.31863304621752	3.367179958278039	TRUE
ENSG00000086475.14	611.5792358628696	-3.325134593322218	0.08096306916374653	-41.06976955872542	0	0	ENSG00000086475	D0 vs D14	1259.6056353115478	125.55943627636101	0.09968154536344659	10.031947200998168	Down	212.122	SEPHS1	protein_coding	Protein-coding	10.031947200998168	3.3265297551317223	TRUE
ENSG00000182481.8	704.3802179625261	-3.316073320051657	0.07771364437186025	-42.67041324409169	0	0	ENSG00000182481	D0 vs D14	1449.2125897510948	145.75593912109974	0.1005759542470809	9.942734398953254	Down	263.126	KPNA2	protein_coding	Protein-coding	9.942734398953254	3.313642668820409	TRUE
ENSG00000265972.5	1140.13510620512	3.254719402228088	0.07259752656486881	44.83237317072869	0	0	ENSG00000265972	D0 vs D14	193.77294122927447	1849.9067299370042	9.546775304133782	9.546775304133782	Up	265.895	TXNIP	protein_coding	Protein-coding	9.546775304133782	3.2550135040005648	TRUE
ENSG00000122884.12	869.3178117358005	3.1660130090888363	0.07943429288287941	39.85700500609872	0	0	ENSG00000122884	D0 vs D14	156.18179576084822	1404.1698237170147	8.990611337746016	8.990611337746016	Up	225.152	P4HA1	protein_coding	Protein-coding	8.990611337746016	3.1684192185147904	TRUE
ENSG00000167552.13	2809.6962280848784	3.1162784549412934	0.05057800252152896	61.613316058000166	0	0	ENSG00000167552	D0 vs D14	522.2599843035956	4525.27341092084	8.664790615645268	8.664790615645268	Up	1300.73	TUBA1A	protein_coding	Protein-coding	8.664790615645268	3.1151648871327002	TRUE
ENSG00000143320.8	961.5997290521079	2.9664909525703145	0.07498231484413989	39.562541630470285	0	0	ENSG00000143320	D0 vs D14	196.4231162350433	1535.4821886649065	7.817217332136824	7.817217332136824	Up	718.887	CRABP2	protein_coding	Protein-coding	7.817217332136824	2.9666551477419563	TRUE
ENSG00000107798.17	634.9489847369242	-2.9621962115152702	0.07509787619693284	-39.444473819037945	0	0	ENSG00000107798	D0 vs D14	1264.8384395964488	162.53189359228097	0.12850012183701293	7.782093788738821	Down	176.692	LIPA	protein_coding	Protein-coding	7.782093788738821	2.9601583675804966	TRUE
ENSG00000169764.15	830.458031759859	-2.9511665259961535	0.06633217767283145	-44.49072274623816	0	0	ENSG00000169764	D0 vs D14	1652.764340390646	213.72830028676844	0.12931565321420946	7.733015881252325	Down	482.988	UGP2	protein_coding	Protein-coding	7.733015881252325	2.951031175905685	TRUE
ENSG00000106105.13	1112.7567429036744	-2.914347023157101	0.058676746265073174	-49.66783621558513	0	0	ENSG00000106105	D0 vs D14	2205.9192031780854	292.884897697866	0.13277226893709634	7.531693236889482	Down	434.784	GARS	protein_coding	Protein-coding	7.531693236889482	2.912974240707463	TRUE
ENSG00000182670.13	860.4306962179728	2.9096617507244997	0.07522985211547167	38.676956938030486	0	0	ENSG00000182670	D0 vs D14	182.09059777279091	1369.1857700518594	7.519255726538405	7.519255726538405	Up	102.437	TTC3	protein_coding	Protein-coding	7.519255726538405	2.910589867651321	TRUE
ENSG00000092621.12	786.1414519154692	-2.8767822266804	0.07205642801283724	-39.924019355606774	0	0	ENSG00000092621	D0 vs D14	1552.0693801720254	211.69550572305207	0.13639564598561216	7.33161233097929	Down	443.462	PHGDH	protein_coding	Protein-coding	7.33161233097929	2.8741305034228084	TRUE
ENSG00000117394.21	2897.3131910692164	2.8384997818764552	0.04787478026982271	59.29008479785482	0	0	ENSG00000117394	D0 vs D14	641.3641441326098	4589.274976271672	7.155490400041422	7.155490400041422	Up	679.532	SLC2A1	protein_coding	Protein-coding	7.155490400041422	2.839050645143858	TRUE
ENSG00000011028.13	1107.9791961428148	2.7646279696489446	0.07006977670276313	39.455355785940796	0	0	ENSG00000011028	D0 vs D14	256.917348971736	1746.275581521124	6.7970325418282105	6.7970325418282105	Up	162.459	MRC2	protein_coding	Protein-coding	6.7970325418282105	2.764905029953417	TRUE
ENSG00000109046.14	2688.723624836535	2.7208642535508933	0.04686529995152459	58.05711808876154	0	0	ENSG00000109046	D0 vs D14	640.6941367880728	4224.7457408728815	6.594013427455997	6.594013427455997	Up	475.43	WSB1	protein_coding	Protein-coding	6.594013427455997	2.7211568247857425	TRUE
ENSG00000135821.18	1365.0596784262327	2.6661319699598796	0.05907956286570922	45.1278215449923	0	0	ENSG00000135821	D0 vs D14	336.7909163680804	2136.261249969847	6.342989511139656	6.342989511139656	Up	532.601	GLUL	protein_coding	Protein-coding	6.342989511139656	2.6651629565111086	TRUE
ENSG00000117450.13	1330.5170414304077	-2.6447781654009894	0.051890258260410486	-50.96868379664271	0	0	ENSG00000117450	D0 vs D14	2559.5052093481227	408.7759154921215	0.1597089601533697	6.261389461428418	Down	1741.38	PRDX1	protein_coding	Protein-coding	6.261389461428418	2.6464828403335208	TRUE
ENSG00000129353.14	1086.3719836830364	2.5169587528976236	0.06444659696622305	39.05495202821618	0	0	ENSG00000129353	D0 vs D14	293.5514132333648	1680.9874115202902	5.726381600431792	5.726381600431792	Up	275.591	SLC44A2	protein_coding	Protein-coding	5.726381600431792	2.5176238133178197	TRUE
ENSG00000164692.17	8008.072156240735	2.514946653439191	0.03789823060562433	66.36052958804777	0	0	ENSG00000164692	D0 vs D14	2167.1752074942638	12388.744867800588	5.716540510873013	5.716540510873013	Up	1339	COL1A2	protein_coding	Protein-coding	5.716540510873013	2.5151423327194853	TRUE
ENSG00000164733.20	2451.8241921441195	2.5018050375202425	0.04886194432121825	51.20150399815007	0	0	ENSG00000164733	D0 vs D14	668.9526177937819	3788.977872906873	5.664045213550389	5.664045213550389	Up	702.3	CTSB	protein_coding	Protein-coding	5.664045213550389	2.5018327818588655	TRUE
ENSG00000272398.5	1858.1328318461233	-2.42626095050724	0.045982487020042505	-52.764891760850155	0	0	ENSG00000272398	D0 vs D14	3474.28033404316	646.0222051983458	0.18594417925007903	5.377958073401618	Down	836.946	CD24	protein_coding	Protein-coding	5.377958073401618	2.427058507994098	TRUE
ENSG00000251562.8	1632.6688711999598	2.41104345489478	0.058362597730911625	41.311448575527955	0	0	ENSG00000251562	D0 vs D14	470.3889674586006	2504.3787990059786	5.324059389693045	5.324059389693045	Up	319.935	MALAT1	lncRNA	lncRNA	5.324059389693045	2.4125266645514105	TRUE
ENSG00000163931.15	2352.0852376907255	-2.3713004334484302	0.04453608327332588	-53.244476369763746	0	0	ENSG00000163931	D0 vs D14	4364.312558387266	842.9147471683202	0.19313803397247983	5.1776440892138815	Down	965.309	TKT	protein_coding	Protein-coding	5.1776440892138815	2.3722957979198136	TRUE
ENSG00000026025.15	2936.507915263815	2.3191285824169183	0.04552230154437562	50.94488863126148	0	0	ENSG00000026025	D0 vs D14	895.376107114932	4467.356771375478	4.989363392519073	4.989363392519073	Up	2453.07	VIM	protein_coding	Protein-coding	4.989363392519073	2.318855749621484	TRUE
ENSG00000087245.12	1280.8509825056892	2.267721411529807	0.05836855856913613	38.851763125925864	0	0	ENSG00000087245	D0 vs D14	403.0693483475163	1939.1872081243187	4.811051041401441	4.811051041401441	Up	400.526	MMP2	protein_coding	Protein-coding	4.811051041401441	2.2663521053411744	TRUE
ENSG00000137309.19	2731.462343018216	-2.2601203858305396	0.04127334850619373	-54.759801848676574	0	0	ENSG00000137309	D0 vs D14	4985.876151814566	1040.6519864209538	0.20871998315526102	4.791108090767369	Down	1052.76	HMGA1	protein_coding	Protein-coding	4.791108090767369	2.260359362052008	TRUE
ENSG00000134333.13	2122.556299189551	2.190620133693052	0.04814910310465469	45.496592718074524	0	0	ENSG00000134333	D0 vs D14	698.4456318615083	3190.639299685583	4.568199948766006	4.568199948766006	Up	876.972	LDHA	protein_coding	Protein-coding	4.568199948766006	2.191625798419679	TRUE
ENSG00000136167.13	1158.8497860607115	-2.16464477614067	0.052936121018960926	-40.891639479313696	0	0	ENSG00000136167	D0 vs D14	2084.060624693367	464.94165708621966	0.22309411327927547	4.482413208044499	Down	205.396	LCP1	protein_coding	Protein-coding	4.482413208044499	2.1642756487855563	TRUE
ENSG00000118785.13	1871.9815985387504	-2.160806335708041	0.045363539056058784	-47.633107572091916	0	0	ENSG00000118785	D0 vs D14	3365.12582373112	752.1234296444734	0.22350529193899452	4.474166993204567	Down	965.057	SPP1	protein_coding	Protein-coding	4.474166993204567	2.1616191043567987	TRUE
